data,pais,estado,populacao,confirmados,confirmados_1d,confirmados_media_movel_7d,taxa_14d_confirmados_media_movel_7d,tendencia_confirmados,mortes,mortes_1d,mortes_media_movel_7d,taxa_14d_mortes_media_movel_7d,tendencia_mortes,mes,ano
2021-02-26,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-02,2021
2021-02-27,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-02,2021
2021-02-28,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-02,2021
2021-03-01,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-02,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-03,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-04,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-05,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-06,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-07,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-08,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-09,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-10,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-11,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-12,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-13,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-14,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-15,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-16,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-17,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-18,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-19,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-20,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-21,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-22,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-23,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-24,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-25,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-26,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-27,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-28,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-29,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-30,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-03-31,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-03,2021
2021-04-01,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-02,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-03,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-04,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-05,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-06,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-07,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-08,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-09,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-10,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-11,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-12,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-13,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-14,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-15,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-16,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-17,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-18,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-19,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-20,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-21,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-22,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-23,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-24,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-25,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-26,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-27,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-28,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-29,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-04-30,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-04,2021
2021-05-01,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-02,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-03,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-04,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-05,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-06,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-07,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-08,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-09,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-10,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-11,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-12,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-13,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-14,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-15,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-16,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-17,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-18,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-19,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-20,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-21,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-22,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-23,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-24,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-25,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-26,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-27,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-28,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-29,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-30,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-05-31,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-05,2021
2021-06-01,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-02,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-03,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-04,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-05,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-06,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-07,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-08,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-09,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-10,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-11,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-12,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-13,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-14,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-15,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-16,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-17,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-18,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-19,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-20,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-21,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-22,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-23,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-24,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-25,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-26,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-27,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-28,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-29,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-06-30,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-06,2021
2021-07-01,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-02,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-03,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
